西方哲学流派及其反思,MARX026614
岩土工程勘察及测试技术,2173067
消防法规,4040627
机械原理课程设计,0271045
大学物理BI,PHYS001112
视觉造型基础,SoAD026312
科学研究方法M,1111658
英语Ⅱ,SoFL000512
土木工程机械概论,0275001
菲迪克条款,0873168
商品流通学,2873015
第二外语I(德语),8001080
法汉互译II,8001186
人工智能与未来生活漫谈,ELEC017714
传热学B,3273537
声乐副修4,2573150
DSP原理与应用,2050956
材料性能研究技术Ⅱ,3273063
运动、健康与材料,MASE012214
舞蹈表演II,7047814
工程地质,0320900
食品安全与健康,SLSE016515
铁道机车车辆概论,08020035
语言学概论AII,3273630
电路分析与设计Ⅱ,08040039
无机及分析化学Ⅱ,SLSE001812
RAMS理论及应用,3273342
基础力学实验A2,1110070
国际商务沟通及谈判Ⅱ,0173263
数理方程B,1271028
心理电影赏析,CPRC006515
城市公共交通系统,0571116
大学物理BⅠ,PHYS001112
建筑信息模型,7772016
空间大地测量学,3273053
计算机辅助设计,08020120
古代汉语Ⅱ,SoFL024512
工程流体力学,0137400
流行歌曲和声技法2,2571147
建筑环境测试技术,0281028
政治经济学,7012300
现代通信原理,3273603
中药药剂学,1673077
现代控制理论基础,3273081
从BIM认识建筑工程问题,CIVE022415
生命之舞,MYSC001715
视频广告策划与包装1,2571117
工程沟通与交流技巧,XJFY1000
日语快速阅读2,0871239
编程项目,XJCO1921
系统可靠性与安全性,0473099
交通安全规划,0571078
桥梁建造技术,0173144
铁路车站及枢纽,3273865
三维GIS技术基础,2171052
工程测量MII,3271003
列车运行控制实验,3273349
商务英语阅读,SoFL028112
数据结构,FGEE004512
心理学与幸福人生,CPRC005714
法语文体学,0873199
有机化学实验,SLSE002912
普通生物学,SLSE003112
汽车设计与分析,XJME3470
会计报表分析及案例研究,3273095
建筑设计A2-2,0973050
数字地形测量学,FGEE018012
集成设计项目2,XJCV2660
生物医学电子与传感技术试验,3273069
桥梁工程B,3273645
中国美术史,SoAD022912
广告创意,2572001
社会调查与社会统计,8047040
摄影测量实习,9990014
新能源技术：应用基础与前沿研究,MYSC000915
国际政治概论,7047764
世界贸易组织法,7047626
综合化学,MASE012512
人际传播,2583022
器乐主修6,2571168
食话食说,MYSC002314
人际沟通心理与艺术,CPRC006014
轻量化风暴-新材料、新工艺的革命,MASE000914
电子技术A,0371067
普通地质学,3273033
商务英语听说Ⅱ,SoFL027812
路面工程课程设计,0153825
初等数学（下）,07060003
欧洲文化入门,8047110
生物反应工程,1671022
电力电子技术（含实验）,3273076
与自然和人文对话,PHYS009714
当代社会思潮,3273406
商业数据分析,0673116
电磁场中的计算方法,3143370
基础英语（下）,05060006
基础物理（下）,07040007
信息安全工程,0371055
从PPT到答辩,MYSC000115
日语演讲及演剧,0871247
模拟电子技术实验,3122300
电机学AI,0371094
射频电子工艺实习,1386002
城市轨道交通工程维护与管理,0173113
Fortran语言及结构分析程序设计,1173022
建筑结构,0971001
知识经济与创新,SPAL013114
数据库原理与设计,3243210
日本古典文法,3273005
公司金融,0673162
传感器技术,1371009
中国古代文学Ⅱ,SHUM002112
计算机控制系统,3143344
酒店空间设计概论,2573139
马克思主义文学理论,2573030
电工技术B,ELEC015912
设计调查程序与方法,7047640
发酵工程,6230820
综合英语AⅡ,SoFL005812
经典红色电影赏析,MARX026815
爵士舞,PHYE001815
毕业设计（论文）-风景,0973041
哲学的智慧,SHUM022314
供变电技术,3273230
动态图形制作,2583006
AUTOCAD绘图知识,MECE024415
遗传学,6230600
基础会计学,SoEM001412
饮食文化与食疗养生,SLSE016014
色彩研究Ⅰ,SoAD022712
跨文化传播,2583015
物流法律法规,0200353
英语Ⅱ(艺术类),SoFL004311
毕业设计（论文）-心理,6773070
控制工程基础,2023600
无障碍环境设计概论,0153856
工地实习,9990150
心理学与生活,CPRC005614
个性化研究项目1,XJCV3750
大学语文,SHUM020314
机械综合课程设计,3273322
日本文学作品赏析,0871244
软件设计综合实验,0371092
表面工程（双语）,3273202
中级宏观经济学,3271081
电子商务概论,5050252
现代通信原理A,3273578
机械工程制图Ⅱ,MECE004412
概率论与数理统计B,1271031
中国文化元典导读,3273217
毕业设计（论文）-生物,1673095
信息图形设计,2583035
计算机组成原理B,0473031
复合材料力学,1171007
交际语言学,7020600
通用国际法律法规,0173180
岩体力学A,0341542
曲式与作品分析II,8001200
嵌入式系统设计与应用实验,0473004
毕业设计（论文）-物联网,0473115
大学物理AⅡ,6111020
工程训练A,ENTC000313
交通运输经济,3273584
英语议论文写作,0883014
光电检测技术A,6100139
建筑设计A6-1,0973057
毕业设计（论文）-统计,1273040
工程制图,08030125
中国政治思想史,7024100
认识实习,9939492
管理学导论,SoFL028512
英语语法,SoFL007512
西方政治思想史,SPAL006512
认识实习,9990058
综合商务英语Ⅱ,SoFL027312
消防规划学,2173017
时间序列分析,1273010
英语语法:学术体,SoFL022212
集成电路工艺,3143359
高级日语2,8047390
美术实习,SoAD004713
电子线路CAD,9990179
城市综合社会实践调查,9990270
西方文学经典选读Ⅱ,0871027
组合优化,XJCO3910
日本概况,SoFL013112
基础力学实验A,1171004
热力学统计物理,1371026
实验心理学,6771009
行车组织,0583012
近代物理实验Ⅰ,1374002
工程电磁场,0383021
市场调查,3273016
变态心理学,3273019
交通工程学基础,0232100
防排烟工程,2173014
物理化学A,MASE001312
高级英语B,0871111
物理化学,MASE016512
城市轨道交通工程,0173127
悦读与旅行,MYSC003115
遗传学实验,6230610
嵌入式系统设计与应用,0473003
中国概况,7001017
创新创业创青春,SoEM016714
形势与政策3,7001152
科研见习,3273866
高等代数BⅡ,MATH005712
SPSS及心理软件,6773071
职业生涯与发展规划,CPRC006314
人文地理学,2171045
英语Ⅳ,8010240
社会心理学,7021400
制药设备与车间设计实验,08010116
盾构法地下空间工程,3273390
传感器与信号检测技术(含实验),0383004
商业软件设计,9990512
计算机辅助设计3DMAX,2571196
会计综合模拟实习,9990632
设计心理学:体验与创意,MYSC000615
专业科研实践,1271013
风力与光伏发电系统,3273646
西方音乐史2,2571156
电机与运动控制系统,3100306
认识实习,9990529
组织行为学,0671027
可靠性工程,0244544
检测技术与故障诊断,3273221
采购与供应管理,2873013
基础工程与地基处理,2173068
机械设计,2030100
工程材料,XJME1280
供电系统（含实验）,3273459
固体物理,1373010
智能交通系统,0571119
毕业设计（论文）-法学,2673044
资源勘查综合实习,2173082
教育理论,0873039
比较政治制度,MARX022912
金融模拟交易实习,9990592
毕业论文(英语),8040600
科学、技术与社会,SHUM020414
西方哲学史,MARX023012
房屋钢结构,0173059
桥梁工程课程设计,0153819
计算机基础绘图,FGEE011013
无机及分析化学实验Ⅱ,SLSE002113
化工原理,1673014
高速铁路建设管理（MOOCS）,3273895
人权法,0773017
数据结构,1673097
水下隧道,0173055
建筑经济与管理,5050314
火灾科学与消防技术,08030102
数字媒体设计I,3273239
钢琴副修Ⅱ,SHUM016113
细胞生物学与分子生物学,1000396
矿物岩石学 Ⅱ 实验,08010011
中国文化,7772055
电机与控制,3273324
交通建模2,XJCV3080
编组站自动化,0471093
中药药剂学实验,1674016
《成本会计》实验课,3273607
选线设计,0173046
计算机组成实验,3273525
土木工程地质实习,9990005
建筑结构抗震设计,0147600
数字电子技术B,ELEC014312
机器人技术与实践,ENTC000515
城市轨道交通场站规划课程设计,0583027
植物生物学实验,6230934
计算机辅助电机设计实训,3273222
有机化学BⅠ,SLSE002712
交通系统仿真,3273009
基础生命科学,SLSE015512
材料力学E,6341330
英语Ⅲ,8010230
毕业设计（论文）-消防工程,2173074
建筑物理环境,3273030
走进风景园林,MYSC004015
演讲1000 Human Communicati,SLSE009611
物联网工程实习,9990600
计算机辅助设计,MECH006813
铁路线路工程,0173126
毕业设计（论文）-传播学,0773043
德语二外Ⅱ,SoFL032715
舞台实践Ⅳ,2573108
生物统计学,0873185
工程测量B,FGEE006312
计算机组成原理,3273524
规划设计能力实训,9990711
分子生物学,1043927
通用学术英语,0872008
生物工程与制药相关课程综合实践与设计,1673068
政府与非营利组织会计,0673096
环境生态学,2171064
矿山法地下空间工程,3273389
商务认知,SoFL029813
合唱·指挥·风采,SHUM021914
天然药物化学B,1673050
影视音乐赏析,SHUM023315
园林测绘,3273048
大学物理实验MⅠ,PHYS009212
工程造价认识实习,CIVE021513
建筑材料B,0111400
